Id_super_padre,Super_Padre_Name,Id_P,Nombre_P,P_Address,Tipo_P,Id_H,Nombre_H,Tipo_H,Id_N,Nombre_N,Tipo_N,Address,Size,DATE
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1559.0,Servidores,lan,150.50.0.0/16,65536,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1562.0,Interna BD producción,lan,172.16.0.0/22,1024,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1690.0,MENTA - SDDC-DPortGroup-Mgmt,lan,172.16.16.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1696.0,MENTA - SDDC-DPortGroup-vMotion,lan,172.16.17.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1699.0,MENTA - SDDC-DPortGroup-VTEP_VXLAN,lan,172.16.18.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1711.0,MENTA - Dynatrace_Cluster,lan,172.16.19.0/25,128,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1714.0,MENTA - Dynatrace_Colectores,lan,172.16.19.128/25,128,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1693.0,MENTA - SDDC-DPortGroup-VSAN,lan,172.16.20.128/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1708.0,MENTA - Edge_to_DLR,lan,172.16.20.144/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1702.0,MENTA - Uplink01,lan,172.16.20.160/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1705.0,MENTA - Uplink02,lan,172.16.20.176/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1687.0,MENTA - BGP-Edge,lan,172.16.20.224/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1565.0,Interna no BD producción,lan,172.17.0.0/22,1024,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1608.0,Interna Desarrollo,lan,172.18.1.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1605.0,Interna Calidad,lan,172.18.3.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1568.0,Gestion,lan,172.19.0.0/21,2048,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1574.0,Respaldo Servidores Fisicos,lan,172.19.16.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1577.0,Respaldo Servidores Virtuales_LAN,lan,172.19.18.0/25,128,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1571.0,Gestion_excepcion,lan,172.19.19.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1642.0,GESTION POWER 9,lan,172.19.22.0/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1602.0,DMZ2 Desarrollo,lan,172.26.0.0/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1717.0,TANZU K8s PaaS -  DMZ Calidad,lan,172.26.56.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1720.0,TANZU k8s PaaS - DMZ Produccion,lan,172.26.57.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1723.0,TANZU k8s PaaS - DMZ Desarrollo,lan,172.26.58.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1726.0,TANZU K8s PaaS - Managment,lan,172.26.59.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1593.0,DMZ2 Calidad,lan,172.27.0.0/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1581.0,Callcenter,lan,172.30.0.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1617.0,Extranet_Terceros (SUNAT),lan,191.169.40.128/25,128,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1651.0,VLAN0192 (RAC),lan,192.168.0.0/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1654.0,VLAN0193 (RAC),lan,192.168.0.8/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1657.0,VLAN0194 (RAC),lan,192.168.0.16/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1660.0,VLAN0197 (RAC),lan,192.168.0.32/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1529.0,DMZ Sello de tiempo,lan,192.168.20.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1547.0,DMZ1,lan,192.168.30.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1624.0,Balanceo interno,lan,192.168.31.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1587.0,DMZ1 Calidad,lan,192.168.34.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1532.0,Element Management,lan,192.168.37.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1535.0,Management,lan,192.168.38.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1538.0,vMotion,lan,192.168.39.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1550.0,DMZ2 actual,lan,192.168.40.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1553.0,DMZ Funcionarios,lan,192.168.41.0/24,256,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1541.0,Ruteo DMZ a NUBE,lan,192.168.43.8/29,8,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1544.0,Telefonia IP DMZ,lan,192.168.43.16/28,16,26/11/2023
506,SUNAT,1004,Sunat DC_01,,supernet,1528.0,Sunat DC_01-Redes,supernet,1590.0,DMZ2 Calidad,lan,192.168.44.0/24,256,26/11/2023
